owner,Sensei
74XAHNk3iUESikU2x2UJp4Rvtm8HEvoiGP1mYBhtCgda,1
EtWBnjfHhCE6tq2YNJBMs1aD4VaGhRypzL8Kvfvy31F1,22
5c5Kasyx1SfRgECc3nT3RHn4RBhCt9BTGhFPtt2k53Q,6
Bj8stYEP6yfqaEYgGyVt74tNU7epTvy1H9Z1UghUS11L,1
3TokiGkwekhqVy1cD2HRTWLa8MB2YQsg7mepsowME7St,8
L88CcCsbZU1xcXeBFW7mojTRZHjKPHqMs3ybwEfRbVD,1
GWEcxgCFH1rcwMpYJvTk1tbyqSMrx6fYPMHjfiTN7QsB,1
DRPeMowpMdNNLzmsq6TydXPiMUosLAgtcJGmxPAVDNYA,1
9SVRqdheCn5x5GncSQJtvaWQ6iCTEm2P4Urv5nUd4Ao4,2
8QjFBiQBCUdYd2ZHMV7NHguzsCEr9JmsnqjABayvmfGf,2
5iaDcEzEHJFUiPUXkJ8NL25ZeTUptNtnbuUV49M45upN,1
9rjPraGQVAwGqtHLTrsALRGW24Zb1v5uGzxReLWPwN4J,1
FZo6MdYDJocGhv4WVEzpxPQqARdEpnKniwPmShVLbWVn,3
6aRj21mFEjXeDcXaA3KWCKDB2ZM4MhiMXSWEeAjoPpuL,2
DuRP9FggXcVcoNLvwCtD9EA3LVk8p6qvtLyNiLBrAS97,14
9ApQsibn3pfghzem4d4aDA2V5DrWV7YAzU8aGjcxDRtx,2
3VHzFq9xd53n84Nw91nVzAn4Gm7dgsUYqYhqUNRku2y9,2
DYdP6yLK5rxyDQBxFt5ts3DSLRM1BXBHVAdYWLK683Zk,1
FAekbjCeQ1TS3ZdBH1WzYNrLq6ZsuTcko1H5fYDJFdrw,1
CyWXZ1KhybGahbvuMZxcubcLejjV2kLUQKrxqm7ZeFPF,10
D9LbkuK5eA9T8qFnyjbvBkyF2eMRgcWpkDjwsjQF1WaD,1
4FtQbdyqc4kqwrc1TNxsf4oBxsDj3oWgzV25pCUZyfjG,4
HyXpPujChNbeQz3SRLPnrSsvnpdFP8zzTNSLhEtmkcA2,3
tnkYe4HJ5YguVyaqvVPM5QyZy5pjp9q3i4SZYHPYBGa,2
HAyiLuayxwgJvwZL5RURjLxq6NAdts4cBPuSVdiyQjaQ,2
2UFTQzqBWMwMeQvDBesnyBWHCyx7jkvAw2agpdHdPLZN,2
D1uN7PhQpPLkgLCWbGhAKpnHLhFktCbQM6wuK9mEC6K6,1
771yMPqiCKUizXSJ6szX2MjdGsFTUxFLoEggJTzKhJao,1
8afzWPZHtHwuUob3mdbzs7U9qrf66f64V4U2deSY3usQ,2
2D9VvmZjugZVjhscU9hALNCg8fpZ68Ddu1rRXBbGSMxH,1
5GN1kMdmp96hFu4tYk6iS3JiXms26UswKhQNphGLm6gw,3
EBAdDorMbmagyerSFQroaWgrgVeNMbsZ26pZAft7TC8,1
B62NFf5w3KWMyuyKSL25diUrQCPfEvB39yGV2divdc96,4
6g1xwwgsT4Stdyi3amRETZy71icQUBNfHirjwkViAfob,8
HEAaBzfH8YCSVC7jKU1skEkfHQQrC3YoSLairfaeigSn,3
3RiSScAB9fbPQdkGBjcG1cqkR43mZvDqQJQ7LvWyMnU2,1
GBeVRDzw5aBGCJxgvTX5M1j5q7KHMSteXWhPmyUsDidP,2
8bo2b8aF98ms2T9t9t6NXMdDnjJ7t9v98eDeCLiL3UEE,1
4x4fH7s7fmzHoZSpkgNXY2Maq9MBd8MDoiDjxp7e7CFg,1
Bcv7bU1hTTxGn5zDqhKcDUtJcrrbRXLEPcRsQmuu74ec,2
7s4v318pjybtQwWPyrUsQ9xugQiTbZfRtccdL5gpuczY,4
21x1sVSN49zbYoustbNqyZ9N9fi4BbayLNcz9mGbFgRy,1
HJPpzQhGMrUnYYQcVaUHopmGSRUwqn4TJjkGY51X8YkZ,1
6hqzdcNVabc41ZoRaUJrDxAgTrSCoY8fF54LQRT1c7oK,1
ZszWyiwUPuKx9ME9A1SW87tLxTK7mXisUGLFi2DHeUr,2
6PdkWCAGbHiWsVfM2md1Z8RiU25NLBwgiwU7MnDL7pTv,2
5517ejDtbKTwoWTKxKoNaGczVr1CN59RspBvnegqSsQD,2
s3EheJd1qc7r7mTMLuRVEGKdpcvbuzJABuEv9Jo366h,1
3yJorHYZ9G4NAyjz6JEXJUEVaikv8yir1U4SANhGJsfH,1
HJ67sjG7ckNPdPv7GqDztCpMXGeoZPPMx42uDmKcXDb3,1
6bLKNjr9hK4HZbZ8iimTynbhLiJfuCzmmmgfgFspSYY3,12
Efx1LHEbVZQyqxxkibrZ11ehDP38nxPXCj38GoUn4i83,4
FLQr7MaobSUnZiRDMLKZ9bTA7KjD3Dfnwfe79yJf9H4E,1
EURBncuav7UXgwn2fTdfvSbvTPWYJdkcdpZZxK1YKXhK,1
2rNhpBsXbfVxxLVXhrkYmEUVnud9Nd9kpHuQGHx5TbSX,2
9CMnpG5MVmR6rkJ7rGHuuKvkejN8iC7G3VeJFNs4KwdJ,17
956WH3Kk3EnwAcK3EKptkPHJcMnwNLQ168vtTKA3dNwx,2
FyYpY8kfNmcDJRvAtPoKgnFcc9XYTkvFUUyZWkESDM4v,1
EjNKVhthrv62EuCqCU6BdzFXSTwjTmdR4vHmS7VSz2z1,5
9fg8bCxLf8w3BS38RKPLeQBqR8D9riSZzgca4FwfujXt,3
7ZPzPYhmnXYWwMQ629CJEJCwpcsge6TKqaA6SmahzjBa,6
EWM1ARKKAyGWAQuc9qSoS9GjkJ6mLNeMQjKu5XyZarrs,2
FYMawfTKZ72g4xh74cVSfgG4mZJq6AQXsYZgE5tCFt4V,8
vqaLnVspfYL3X9X55jKb3W9iMMyagjagEn7i1LhfTzX,2
6mUV71XNAJYvhmaZUiNjEgejBkGvvPNmGV7Rr3qPyXDo,1
DQtRg7EAecUHELsxTgHim8vyGNtNPRrzgKRLX8JVaZuA,2
5yKXQSAmFu3x1MifbnPYDKEAgQEFq9m9Kzhbu5uJzXYi,1
9cmiDWv1b5zRJqbJsFvbKk5k7EXENddT9nvVCxaRQ5Rs,3
3YKSGJraZ5gAnDKx5R9BA7WP3M6WPkzfpbtDGTLVuuTU,1
6MCgMvMby28kciWwGZhLcaE9YXJkVZnyH4KxTYY1uU1W,4
Hy1o46aJbZvGPCb1bjwMrpNZ7bM7jHhxnaoh9HbaWkXy,2
5ZA1dQK4wH3LNRfeRd93NB9VbiXRaE9TF5Xq1pJdBYpj,8
HDmm1H3nGz5EkyB8R1BB7k9VAMFeJDkhgR7mBc1ZV41W,10
3aWxw6MhoEqiEXbtqHCFkRSvhDXmvsRH8KMMrWw1dLiB,2
3EMkDL4Zyh8uStLfLA8ubVqGSsoJh3LQQHrJV7qitPCD,1
5NLomd8YEU2fgbuvdFrRYS5MhsZqh4rQCgyHJJ29EYTH,2
4HH5ytz4jXAPHM51dqURHrc45eU3GBGyyT6jFPBw513k,1
46RQLQTUka893omr4jqL3xuND2wEPXcDCtdzBUFrRune,20
3bAGPYdNGdM2XhSuCJGvUu7nsyVqL566YuAcD1GtKua2,8
9usWSeF6CmxPmnbkj8Ms1LZSGVmouTVRwpSxVjoRtDYD,1
9GyMzR6M8j1nUCaKGiLenzN6iSGeM9Ge68Sh8XyUp2sY,2
HnZ9mtRBNTevy5vH4rweDqdvcQkhEYVeKNvexVnDBLt7,8
FvppoC3ae9GC6Lc3538rwuzmXfXVeb8Qo2uicEtMoxP6,2
CtUNGwcUdpaQ5WP1tdMuLU6BAZ4NJH5XqVB5Muuy4Bgb,2
HQmb2kZpGEiwKnPAVDG2NmiRybjgG7pZ5nTN66c6b6zh,2
7Cy3VZxHkNVMWahfq5znfx74ftjLzAjbdmKVJXgL8xmQ,2
GYPrNHkEtDdR9SPKeJBruQQfP6GW764JsDQ8SH9H2PJv,1
F4AdRpTCgeQLiGj2Dw3HDiJNriatna8Qk3e8A8q8VS9u,3
6rF7ZEs84kAEA3bxcHeFJ2ej4vQxyhc5NrRpTvwkreTp,1
B13DNR7j1zBjrBX1nqw4JnZsYpXxW3MHBmBsuEAiBjPu,2
B7dG2BAzppnAnNwcC6BNVY1t3kszua2cPfKp9mCVqswf,1
4jGkRUXpWFSY3q9XLErccm5nGCUU7jZcAmfEz9eg21tH,1
4LEQgXCB6BBhBRCoPYzH6sApkVkouXYmj6hHb5AtzZMZ,1
BzZ3ju2NViuKxUmk73dhWfTvoVkSiSe1boMkdXNEMaiE,1
EwZR7nfHu3m4UeCbvnigebZGU4bz2mhYRLuMgFoBWWbz,3
8FJxH7TmJrPHMqnTTvgPd9qozwSX23A5TB1ivn4LVpf4,3
AAENxru6LeJQ2XDE2U15hC1XQVBce84fnGZ5ePAAo1wN,1
67pUPD8ggjHjGiMEEkiKmQmt4HRTL2eZDjorAQmnMPCt,2
CNuNcDaDQFXjgfTWJo3ourFTqi8muRP6wrKKAvhtQ4rF,1
HtapNabFPe8LErPbFFF3u7mC2hpgSPCbSWdrz53MjZAM,1
6n8dDFGneLC9HuoLRGdiMpL44BAg4JuKtuvFC3yp4nsw,1
G8sHs8WGUk1qFTbPvqwnYD8CqeJ6aaYJ6NRgtLo3fidD,3
BySYR4nthCe2LYaqKZwejiFsXdGnwUEUAbucdn9VCYSq,1
HJUqcejV9VgAKSQiq645wWQFQNjZKTLGEJSgWuF9p5Zy,3
F3XFAGTzpFj8JxXisLi7tVHdRe9iFsgyBdtkezisb9iG,1
9YNzgxpvK3gY8hJ9J29FUMYht5GwBqvsxbupRL5Jp4eF,1
8PGoRNg389KNoEFjSCunm3DY1AHE8G8hqHvuFhHQGacb,1
4Mn2qwPmsUuhb8CYpYqwonQo1bTssxymwGC5kAv7GarD,4
EPBJjpSjs5iSEDcTpiTDMfi72hJFkf1SPpz9JHhPQtnk,1
3A2eHcArPs98tE1LHmK3zw1MHC6JoAndQn1ATT7MiBaY,1
Fu2LENhxQVTpwUkLLw4PtM4yg1h771mbCqAPQ9BH1zcB,1
Ay44Mmhtx8DrvCbhMsd7kqCZYn4BC3ubJss9WNfMmKHo,2
GTN3YrL96zyCxGvYdHuDK4h1aAXWjRKe83pFgPnqibSy,1
FxgNeoRwdLHq1oSAwSxDvSfSFrBfygnR3wUFMfVYzrNV,1
CvFv7UWVNN5cQzLCTBwyKULLqsSRpkABX74GCK9RovnS,2
E8RxrSdqRyw2xUPeTPJszxoU29V31139RL36deALJCCE,2
HGCA63GLV9o1SR7Bfjo3dUmUbttoEadBhU4cNXmekezR,3
FQC8tfP6GhmLAsFBf5ezzuSnX47YGyxytHDVGFtHPVCD,3
8LwtNMDrededv1G2CLpxFA4REwPUoGo7Eo8bFt9etgHc,2
CXWg4ZR7kVysqpnN3ZA93DVTbmZgcgNkHH26CRAdZ5Mt,1
DQxLjDh7kDjQhGLNB322D1EWizGASaHnVmK4pkJGJp2f,2
FQvUV5GM6TrUV4vJZ2NFJty4qDH7i9eRhHXZnngRg5mC,2
CsywdJRLzyF2kdP3B3CwcLg56Q2M6vsa5ACEYyUmKDeJ,1
6uPxhvZin4vWMWgDuUCzhdeYsz5QT4zTV9DPB2YVY5L4,2
4mH75fm4SZyy8Wn8tjMg1XTBLDrn8is7iiESGzVqqS2H,1
9DMDYrgLZiydws8xh8rmMvuPG7HtLXMbYMB1CPeVKLkX,2
DaXmJ45qSABmrFWejf8TU2rx6587jCYHskSpYnmK3VYV,18
EYvPkwXdUUsF9xUbKAA53Gt2q4W4ktXPXcXdfCBFbDSM,2
HrruVrzK1QXugKiu3ssxP6n95vyYGVuifxQCd4e4t4px,2
J2ZfRrxQapSQtg79woKkzHK5rBKYdeXRtcgBVQreYQX9,2
FgSXCa6riezn9MTgcLvMUt87zUDJBSmjeNFLnX1Gba8p,3
EePnRqV4Q2VEHp5nPADqeGKcfPMFmnhDW1Ln9LKsTzWQ,8
6bWKBvSHA2zjhNmiooLPzXFk6ixTL3vd1DJ875oZqYzg,1
Ep1uSXe1SLsV9RGDYESGgEMZ7A4tYyqjDPGMVCtMQvXm,1
9wAojhMgL2vj2oWiJzNUpTCZRUJKNgdxBmTKaSeF972Q,6
GYY7C4yTXpAEXYP6KddVED9sXb1FhT8DfL2AXtPstiJF,5
DKM46yeSQVfqj3aPGYasSpiwrXPXLRykgHXb9UcwmQKj,3
4iRMvsQUS47vf1UsqbJ1RGGFH5LuVRZEDxftA4Yie2GU,2
58wKeASpyJbhnHHvu3Dcwkf4Wta6Tiwbe2SEEZhWMH4L,1
4CGqWC5pfrjPQv3hetf3564t73G17mDaGz9EdrQMVzjS,1
BCMjUum7qfG44YiBhXyBFx7G9hgdDZkGbPHSVp7goLbx,1
DWo2kbTM36348CFHGFg9QDeDzp3HMRTdff5xN21NS2jD,8
BoAqsV7fYNa6GVyyqGjVrpJJ4T4wgoMhaV4vHxLBSvZH,1
Cv5rW3TQbTfLyMCzZ7HKiXKkXqNes5gNuBmRCByG4kre,2
3ZZCNX89w1mjFrZdA8T54JKLmUhU9PgrPn7eAwdvhUhB,1
Ly5bySywmxcULJo4ndyumc6gfAYBW4swuqVx8w3bUcc,1
BqeE7L92F71MXW3FdoHPwNFPxyMaJCfqW1omaUBepXJQ,2
93svCtsXFJTgsbkJroCfW9Q1VrzmUQLdqeDbVATzquX1,1
gPrjqtxqigZnutVPA9BiVNFVsGd6FrDCStHiQWS336S,3
8azWpwCWgHrmNFP8BqT4vWNrQ9uZU2xsX4WbpqktSeNV,2
GB5fUq8tFgWsmw2aqaGNNgxpBdSniKRpCov9qD2MY3ko,5
BoRiSxtNsHGQNKzic4sBa6779wPpp5e8UXywSVdHhpEG,1
AsJQDsum2in1ofjarLTMnRK6hBi8qwmRbvE6QKTTdFAk,1
8fHvmVzxv5tVJSELSrP4tpkurDrtZYLhx4mp56muCiuS,3
F6sS9U4pux1Me2NKFYv5yMFtC87gHQ6GAqDGVAE2URtJ,2
7RNNHvW1WnzaFekQ2tYuVomxsUiCq6DkpQq9Jaht7BWq,13
4yMypfvRBHQwkZCSUeYdNcPZa71vsgcfqLmGAyNP59NU,2
DBCgHpFL1jbHGZ6oEfRaRKEC7WwaM23qr7gk91tbGqLe,2
3pHkYFx7YTNm5dEjcdNWTDUAYPPVJVoSFeb6a52oPXMu,1
AGgvwBeMuaLRa1MCFii3huJcwWgyyoJHfUEEYEYV6mQ9,1
4J9gQApYXZYXjGjknnMPihwWHeAL2EFGKxbpJJxBNbXX,4
GXNiTcGk7BYhiqTbX99CjwXYs1wkWHP27TtzGLQ7wXd8,2
DLCYBGFqhGSDULAZnqd7CuS6Jjn8BxrZNeveKWXXhQ56,2
7AaXusLHH7SEHNYJ2Xg8TXBj51qwQKmoxAAdd52Gx8T4,1
F9kCwa1sZBeghPXQCNfBG3cy9Gat58FAeYUm4YLfWwLJ,1
2cxjDakEq1V1j3SBLmzkDnjygx7oxbCWqM9QdQJdpL3D,1
EuuwJPomsZn9pH8ErE8JFZhAdgimgMNz33skuBm85qvY,3
Em3YJmteVw9wpmDZ7KULMXPfvRCTqjp5JWsjRedFBLiz,2
GM9UjwUTvXnrbheyEUqhY2xBnbMRYUWhWRpURzvpVCoY,2
6kz3vAzJfqQi8EJhVX7pat18YqSsTitc6QdHsTWHPXhw,1
4dkUHYQzCK2s4BdwUurbT8nzEAoj82qHTpSPURoMyyAM,1
2DRuURxpJv4jX2eMg2rpsci8T4H23TmgexrVwxLj4gi1,2
f5sgJZYkTN2AX9Sgr9Jj3Yt2Gmwh9dgEFz8uRkDjyqh,3
4UaJGMSifY5AsBZHVBpBTaypKxHcubGvKuWfoE5qH4BW,4
Gnsbz9w1u5ECnZL1X6KRq5TXHMW4dtAyDk5QHEmcXXaf,2
J8eNPD3K1UQVg35hrhxh1VYh9fuzCqj5JNhxTLRwaVTc,2
3vcibuwBaaQ7Vg5yrzkQ9ogugGQYSmV9P4VAMyLjPF2m,2
9gWskPNsJgoB4TFaE2WyZKA8rHstytgCvY2vT5KeAfVc,3
AhZa2cqqUFQnCXNjDupX96qk4NkqTuUhuQKvavJ3buqk,7
8CRQtU1iBeYY4ZjBBGd7wLhkGVZk6dUY3KEEEw7azQ4q,2
6w9WGbe3LFDxYkKYYhpJxF5nhg2nEBMa3Pg7RHzWZKHd,1
7iSG5y8f4DHtUEPLcgWQnJso99JRB51opyaRoH8qWZ8r,4
39TCM5Rue7mNmXnM1e4EMpLpxgX7czyJe4V4hQ4FwyNv,1
82AqKwvcmvLhTfpvrnpDwNJY4Zjg2y1rNS7Azmu3cL6z,1
2wHv8ZwvBRYXstV6j1ZvUT66nggugvBJ2emXN8fyVmwG,3
9eAfi7MKTRx6b1Ui7goq4RGpKfLjApisKaxZZfjme4MW,1
6UJS3hyFUeQzznyB633X1Y4obL9Q5X7BJ87mXFYcLNX3,2
BXTHJ38ABgdqLTX6ZLRnLdwqZaGvtzESHVxfprTUKRyb,1
FoGAGvDtTAqdrMftfMEwgroXpZMaQQsYXAkndBBjg6m3,2
DaoYN8dJmyVGtummuKqKfMGnALGu9VZtY9dgWrHbNNnp,2
GPTug2Bnh1yX94xxumAgENZobTLqbj5GMfFvcNbzEw8x,2
NB5HXPAQBPZ4eCTnU4WsAQry4g7KVipf7RDfEJpYTFp,1
2Y9sbTVy4rYfbw4q8LyDPgZmcFEih6E7RK9yoWCqr6qq,1
FQp8Mv7ktqZeayBw63WfrNiz1qV5cpUhS2hncafu62GY,1
CTpS3Nx3aXivrgmojC8Tm9UhJLV5VpWTJ8C53Qa7pqzU,1
EZoefxCTGHCEomYjW78FLj7q4ncmjoAUtkpkAVKTp6Zs,1
85RZJF41mVKvECVY4Z4VZ3NyKbeyRWxxFrmzq6sfQBqT,1
2TGw4x8ks9DjQPVgZoY4hVhvsxCrTbmp4Lyba2yoWPXD,1
A2unjTX4gYBHj1aVZdtpk2uYBPPcnbxNffHbuF7hHmGi,1
CMTZ37FCkim9X3rtWquusViUbKYBLCwJiM6DGfajGrXi,2
BRneNDE8G3U48vzbZz8nqWsmbj1gaPYrt8q5fzWGfDsg,3
CSWtZJi4HK3dcXBMtCk86GBHgVVBnaVotDWuFsjwHdTr,1
3zSqUAnFiZttRQKtyhyVdA9iy9h1ZGzoBhakFMrqsSUa,3
HDhAhHW2d5oGN299Hi5dJFb4v9m21brynG8MKhthRgdo,2
GNRRWS5zCFcyG6DCmXrupTZ9VNVJHsE5Sx3nNgNdJNJY,2
7dzinRwKrXkKe86LsyJuqLrLhE57tZifuHQ4pAMxPHjg,11
DKDcSadLaZvGzbxXyNCkUoEbbzbxGKBXEPucfVwALmGc,2
5YnsUrZDi5TGvekQw4tHoD9sHftg3JA7hSUua3FzSbxT,1
A4BGcSjPatFv19B66VngRCifSx2hcDx3SFPzAoSCeQBY,3
y822Suse4UuKwRcC6ZmfiZbLqijjqQESJtEzgriEcrv,2
xvDGmFrXL5CCdo5Vr1fb4tUKfSqzUKgpPb3nrH2gzLW,2
CS2nSLWHvomnzLoHgMCKmFrCmGzLJ2YLGKdDLxoWc9AR,2
GH2vw87ZNcMzBnXoaKmRYom5dskmH2FijDM5Sbu7ZBfs,2
Bixazvvt9XcZzKTFcfaG5KMeFRyZX2PsmwKdxf2hyQES,1
6vXHcvdppwQHgyHCuTCjDZvhzS6KAL5KwCa2iP5fE9xS,2
EapK5ZAYkQscQ4CCA7x5kh42CC31J2D2bjh2YMzDCPdi,1
AxATtiNrdHpKh6QgEsLbiatRtt41LKcvmNcvfDw3jAcT,1
AKqTBz4Pz1HQYTWMhxBuLJ4MZCozQBunhRT5DuZWe44U,1
EnuBFr1vH59nv4H4mViGFsfLscXoe7EqVwje2FucpXFb,1
CaQiqcoVBYn5rVBgEEF1cmE4QQyBx9tR1UdVu9DVidkP,2
FhLXeB6rfDUpAjWLGPjh6kd6VvDzaW7GBKrdsLuewDGR,1
6c4k18xXHTqC4EuUibhuiPrUfVZCM8Jjb2kygHuPEuJZ,1
EzDfrh6VS6LzmfuNGaXkVxGwkQJLNCsMqeLdYRG4Y8GD,1
97YGs9pb1KBZAN4mZD5nYPeJDBqELr9pUFHoa7W58pab,2
91XVP6yRrwGKGZa3pVG2rrotgcvM38UERrHAmC4NDBSp,1
4VXi8vbpmwVk7cayf5sqi4hbrUW5Ly5YesR8iYxNyRgP,3
5MqB1r3nLhZhDS9Q7dCYfrP3zihoRYK4UzWoFstskrw4,1
5nhQzSiQnFDfYQbaXTHoHPyFoVn1SNZB4q6EBpmwwGiZ,1
H9o8Gx8sSSXijuvSpKD4oxB121jYd6UU5MBq2tyeMzjc,1
3S5XGtGF86yfoWbUbSQHugYvLSGsjPAY4wAWXdebhDXX,4
BBVfmajNTPqzuUTZHi1TaC9A86ANFWUBs2WTuapGutC,3
3MuEbMP11MPV8ju7kYCyA1ssYx39Gdue8QHujqLnqq6g,2
FWEo8KgNKQYNit9vGEoFjWEWV1ssTziCyvYHGc29JAWp,1
9hpuVz4DRxcDpEFcwRrL8jbVErLhmRqKeVoYFoCwDa9i,2
DNY4cjRv2jZ9PQwuKXdetnUVxnt2FatwHUQeeffD2UkY,1
5CoaHMpEwV1BLUhtEbCZVic9n3ZmFpUHC3vTsyFYU6yf,1
6gkuwsWKqEVgkgVCNLf5tTvKvhR4B2UyE15CwyAyhe1C,2
3reheVTAfMmm9obaKP1ymuJYWRXLsYBm6rZteDjxy9Sk,1
2NDUSTM7xTTiHoe9MA9k4Nq2Bi3pUhT1m3fmMoLZPzLT,1
6dHUYtGCyoBW8PyuMDVxSJZcnFQnUZTtk5rFaeUtbSxA,2
6v349NtxEuswVnAp6YWSoZJ7m5wTsapoViLzUx2Rzs5F,2
CQDEueW9BJFH6yFRVpp4veKJkD7SNhefALoBjnEwAYmj,2
HYhTsXziCYUWbEHz6DrWTDdQioRtUakpdV5JCecjpTmX,2
DmV6QtVcKHLbVtBqKNnsXemTYAWv3ZfiNDTZzavXBm8u,1
9thGzyCByJzCHsxEuUr4bVYjzp65n31MoZpNr5KQtM5c,3
9djh21DNJE2N3vjqpUFH8EGrDfZ4KAZQSsKrwCpB7EJT,1
4HnJSVq8kVWjVJbUr2m8zmxJFKmTKpyp5vWM9NpYhoDF,1
GaN78qsTmb2CWuik6QYFTpGqEnSXnTo77Hup9uetXsa,1
A98Md4cQ3s7WoGCYo2ZxNSg9FC2h9BuA9AT7Q38f4Atg,2
4Y9waEYXni5uNNT1P2jsxMYASMB12fAHeznNa6bxaCXd,12
HbiQozJSpAT5mdDkEtU654kmsQyUHwyzRaMWbWfdpoD6,2
72NGCCVfjGky5kP3Sbjx6fhYScxtxdMGS8MRBEyfVmi7,2
FvqdreoTEKJuPXxqCq8o5m5jgj7pVU14xLArWYnY7xaE,1
3pTDxxvuaiMyntvmuLFuFMXBgHGnJVAv6XDA8wnkVtWN,1
FNAgf9QbyewF1jmxMm8SrwfVXrWG7Lb9TPGQ5zhe7uEB,1
ADRMvMEyWpqR166MJWHsunEBvBSxzcheTrDY1z3yLxnt,1
9fdGM5EiPJXKzerkDiMCWu8SXvq2P6p4rAPidTCTFBoT,1
7ksZMxyQ2eJuNn2eKHc1SbxWquvUFEWNravJtvg9ya11,2
CFv4zKpicQedv8nN5oYGYCVLqxMgsimADCCGTdMgBBg2,1
FHhhWS6LBtXGHvcHKaZTnLaRfU2HB7q7odv8t6B7hvm,3
6UNEGy2rnAd4XVPdbLRXY5zeKwUMgp7WxJgRY34KtZ54,1
9tfJvVzYozWAJ2jGg5AyACEK3NrLmTj4ficGYNztnHgY,8
Bko7K5bCTjSBhoh8i3jgaKeC7KGyPgX8bFxbCidY1ABR,1
6JMsD6ETEzhKw8XsDepQwmkrgs7gnKBtkgxtT2s7ksCv,6
39oEttze8egCVN3hoYhhde62XE4VP53MGgJc3FBDgxba,2
G4Pa2smfWYJAF2e9mUQGzgGivJKpgMbFWEQzp3apGkf1,3
HhNmJyW5Z3FJ2QfDo9YgVQPwp93KU6omHo7ogAGsc9uV,1
FQSCBF2vgLhii9mNWqS3UdnGS69mFH7qbfeQvaBP9hDb,2
DuyVNPMtDz4HNsrSCaXfN8pEjJ5RT9jzd8yVsGKX6igP,1
