owner,Sensei,FRG
6bLKNjr9hK4HZbZ8iimTynbhLiJfuCzmmmgfgFspSYY3,12,0
6vxtECSd17JUM7ybX6Eb88oGVDxh9hyqsJPXWNJ4bFLf,2,0
AwMKXBJekiG9AHx38gTFsZK139MmLcVwGPc3a4NyA6PK,1,0
CqbKycoPXVwkEz1yQi5q7n4q1eUZ8zLaho6GiaF9MnL4,2,0
NuP9Ya81431LK3Zy7hvWi2wrff5PMFFxSQtDkr8auJb,3,0
29Ch4ZFeWfpzPU3xBSPudRsUuZ46HmYmayhavdYY7Ae7,2,0
3bAGPYdNGdM2XhSuCJGvUu7nsyVqL566YuAcD1GtKua2,8,0
CeHJA69eKaFty6texvD2bB367v2UAuyvcSQjBsovb7am,3,0
6JMsD6ETEzhKw8XsDepQwmkrgs7gnKBtkgxtT2s7ksCv,6,0
8ow3SpPDVVgchvpm15ynwW4Y8vGK1BhGvfF4eRca3k2A,8,0
CYEi9fq632ugJeaow11LsTZSsyinSQnb2GVxDT2CAQoR,6,0
FkzzC8GsBR5YNQjT8eNtB3SxCEj3dLxWBf7vNwcH9N84,2,0
QPi7qvRey1jk9XDrS5shA7MxwhExqhrnBHY1YeETUtc,2,0
CyWXZ1KhybGahbvuMZxcubcLejjV2kLUQKrxqm7ZeFPF,25,5
3zSqUAnFiZttRQKtyhyVdA9iy9h1ZGzoBhakFMrqsSUa,3,0
7ZPzPYhmnXYWwMQ629CJEJCwpcsge6TKqaA6SmahzjBa,6,0
6yGnADaZeb16qh11dPUU71UYwZx5uTR4fjbgvnufjdnD,1,0
FVqvVsDrQsdpdzeNgKVU9gKxP2Mto26kPxUUwKAbNgpN,1,0
J2ZfRrxQapSQtg79woKkzHK5rBKYdeXRtcgBVQreYQX9,2,0
8fcpEFD4Kqh75ZiVCxrcyF2bTN3jtu9ScvrgmQMEJhoU,2,0
BDCgWSfUVTKL7ALVhDf8DeonSWwsjZ9m1Tfqw9a2oBJs,1,0
24Ds7b3DpMxg26owuxgBHNecHPFpGeSbpmKPp15E16WM,2,0
CjMGU2ntdbEXrgwvX2nVmEgciebNL5MGj7FTHj9Se32q,2,0
9Ar4SpiryvNnfS9Buhfw4TGqcKYhrHteyYC949xLCj1i,2,0
GksfuopCmJ2VbDqjvZT7CCWUWhFebpUtBHy1WD2ZXmj9,2,0
GPTug2Bnh1yX94xxumAgENZobTLqbj5GMfFvcNbzEw8x,3,0
Aetgffeuii92PVsnAY4PsPW87FcTnKZiMxtgDrLZTFyH,11,0
CQDEueW9BJFH6yFRVpp4veKJkD7SNhefALoBjnEwAYmj,2,0
7NtazU8Si4VwN4KxqJF5X3GbHRU4PaerPzQNxnTD2CRz,1,0
CLvRf1KvNqy9QHAKRP6CH64nUEQ3TydKgkRp9afgL1rg,1,0
FYMawfTKZ72g4xh74cVSfgG4mZJq6AQXsYZgE5tCFt4V,8,0
3fiTj9Y9pSAgSwkoXDXWkVXdhaFnCaDRZANDeTDDKem8,1,0
G8sHs8WGUk1qFTbPvqwnYD8CqeJ6aaYJ6NRgtLo3fidD,3,0
Fh9c4e5gtvWJowUCQy2BwHrNZcvUgFbMa2e5ik6KXikR,2,0
Bofx7GoaKaPfoQ2F2Nn8ZffDDBuUCFFmz4V8wptcJ1sy,1,0
8ZJc1WnJxBgyfQFfUbJR8RySiD7wFBD2JZL5SgSYaHxp,5,0
5E56QtXgY8MrhizW4A2onmmRzabJ8FwyMLrJdB36NSrx,1,0
6v349NtxEuswVnAp6YWSoZJ7m5wTsapoViLzUx2Rzs5F,2,0
CNuNcDaDQFXjgfTWJo3ourFTqi8muRP6wrKKAvhtQ4rF,1,0
2FsxFx5pe6FdMyhpCsVQ1txqRwQjo1wTCS3FD7KigL3a,1,0
BtQLrgae8iCdWHUyNqr9rvkzkZGJD1ZN5jKw6HEoiWWt,2,0
5nhQzSiQnFDfYQbaXTHoHPyFoVn1SNZB4q6EBpmwwGiZ,1,0
2y67JtVaeQcRavhjFC1hayyTNxdWKmXdW9JjbhcQVbSu,1,0
DuRP9FggXcVcoNLvwCtD9EA3LVk8p6qvtLyNiLBrAS97,10,0
CGM9HRCqkrForx3wVWfcbXeYxEuuCnWn6b8tEqDE8wez,2,0
DaXmJ45qSABmrFWejf8TU2rx6587jCYHskSpYnmK3VYV,18,0
5k3R5MJSw3i4Y2DoDw9BritXsAFXn8Nuuj8psWdGjquM,1,0
Dczbny4xvVb8KU5HFWDbTTuDYoSp8tiSopoba38QjLEj,2,0
4MLNoGVkmaFGxvbg13LZiX19WrLserk5RExYvEDfzBue,1,0
5ZA1dQK4wH3LNRfeRd93NB9VbiXRaE9TF5Xq1pJdBYpj,8,0
ELRmRdPoqcBbMCmJMiiLJRA9SY5npSDntQcbeSNR59oh,1,0
76FyigyCosgH7RC4zBHqJtVn1jD9iAQ3WvxBxX7yNF8x,3,0
GYQwACBvnvY5h1RCFYBj7joqjPQEvTV1WDRYXRDTKFby,3,0
JDUgZFqjhUHQWrsmCGnTqbHxkgEu8zD8dnhEhRffWLA,5,0
DorU5Caa9C7FdmuszT9CFwu9SGFtLE3jQkaV98sew3jL,3,0
3qj1LFLKbA4FSnVHvaGe1o2Ei71NDXmqD8AsA8DTMznC,2,0
HTh5teLki8cBizXRGLXjMZy7naDcEFsZgVkDiWS69XjH,2,0
GnFAPVn3jPuW1jm4EjXQYenjfGe9ZmFz6NusDB1gHECB,4,0
72NGCCVfjGky5kP3Sbjx6fhYScxtxdMGS8MRBEyfVmi7,2,0
5VGk12NnoMnUnb6bkHZ2nyMernkAJbmnLUrVmKwo9w44,1,0
7wvFyuRppuZTxxYEQZFQszeMFEbm3tDFq1TZWMNjzBj2,7,0
5NW9azmkpqen1gL1dKruhv1d1jiGJgDuhGXEZ2jVGzP4,1,0
7bF5GbCsNUui9q4Dr6Wot4bDbfxzmCZCmQqQXWhtt5nA,1,0
2X7qjY7uYdtnniKWpmnwGzTWCSvgYwmpFrszopFpf5ZK,3,0
CviDTmbJPAvwVC3gxo3tyLPhd7bDEz37sUFsD5StGrBz,9,0
GBJbNF6fmYChQhTbhRZke8eM3DVhL6JSZYpKBT7NDzEe,2,0
AndyXLuta7ht5digShXZvuvxNHTnEY5TSMEQojeQh96,1,0
gPrjqtxqigZnutVPA9BiVNFVsGd6FrDCStHiQWS336S,3,6
5bSNWNNhWeHYTcoXkfp88Srm1yVHLKjjASXX6grdsHWz,4,0
BwTsrCysuz4UrNjzFyBtgkVJeB11KvaTBWNWKbkCazkE,2,0
3A2eHcArPs98tE1LHmK3zw1MHC6JoAndQn1ATT7MiBaY,1,0
F6FAYaV8sgW4YYENgRsmnovgNFT22VY28HkA9v81fNht,2,0
7g2Du4h2j7FDXKv1eXwGVcWEttt9WZgnujvEDBSrBx6N,1,0
C3Q2Wdi46KMHN19ziTnuPXsrUpZPjL8ExwwYansPfC63,3,0
A4BGcSjPatFv19B66VngRCifSx2hcDx3SFPzAoSCeQBY,3,0
5ge1eG9awyjZUCCg1L7KpqrPpYZmodb1WqrP5Dt4WRNf,2,0
21RagaxtTFPLXGT11GQDwmYLWNsMtTo9dqr1espNeHRf,1,0
Eo6QJecTJxQkQSEvP7j2XUmkehBYiWbubQbH7d1c7jFi,1,0
5ryxn1VAsX1vrbU6gGnFyfZNvzVZQprapQWsdXqq28Ze,5,0
FFAizpnj3We7CzRTopke7zsszVP7s2MavK3Mo2CA8eU5,10,0
GM9UjwUTvXnrbheyEUqhY2xBnbMRYUWhWRpURzvpVCoY,2,0
GH2vw87ZNcMzBnXoaKmRYom5dskmH2FijDM5Sbu7ZBfs,2,0
2boFAfkB46ijUhizoAQu4d8BexikScki1vFtVEVnKsXy,7,0
GRowGA1cq9abztLhXJykXoD7sAnxUARQap2sRX2CZgpv,42,0
BAVjpySHMMGDpq3whU7qaqCCRE8ksCeGwxa53Qv2i8jS,2,0
8bG1ibkFPQvF3JSKFVdBAj8hptqR7AHxxRnXMTWYV2PK,1,0
2rNhpBsXbfVxxLVXhrkYmEUVnud9Nd9kpHuQGHx5TbSX,2,0
2rMbMSsyAbkaWkvZ1Zr1fkTCUJEqzRFbaZ1J4wvGxapF,10,0
ErKoYy8smCgxLx8jKeCJjUh3V8Sxr6BhPeBpHwXa1c6c,3,0
8qQ2iUgEuNGpvR4QNW1pPDWxUNg5z6MHWvtXW8P6UoBL,1,0
7LLgThqd61zjcBdUQgZ9XTVEERAgR7UWee6ECZevno8f,2,0
EePnRqV4Q2VEHp5nPADqeGKcfPMFmnhDW1Ln9LKsTzWQ,8,0
DjqM7QBcSaAdqnWQupPLhQXYXtwPQYv1XrwWtFVFMRZ2,3,0
BaGZhxVjmmu4AVTX79amZm15c8JuaWUFzme2HM8a3qPv,1,0
GVPtdci9pJb7CWjc6ACJNtZBkZi8CU1WCfHCdB7BFJZV,2,0
9KE1MtctSV6zb9Rvibzqs5bGxLx9jQr8YDaRM3YJGCav,3,0
EbzuqS1eVmxTq6ny67rEcZAdQsQimWDUistmASnspoLw,11,0
GAaSRKt1awE5eXQwNoNYMBkKNCYsTM4xLCfXPSQXmBQS,1,0
AFjLSHEQHQ1DzKBdJ7Tb6fKgXKase6karSS6bNviFz3z,2,0
4cf79TNjL4p69W9PiNfqwG29tW8LcskDs1g2zttdLQfp,1,0
AWocXdA5Bdmcbd3RFQYEJpeY5GX9ea1SwLjDcEV7Mw9P,6,0
4fhhCU8znhghbePJ1597SeULjNjWCTMVGDZYwhru1TCA,4,0
2DRuURxpJv4jX2eMg2rpsci8T4H23TmgexrVwxLj4gi1,2,0
7RNNHvW1WnzaFekQ2tYuVomxsUiCq6DkpQq9Jaht7BWq,13,0
9FFKsHorP8Eo4r87sW5Z3M3KiyfeVJwCJQbhZ96WpyY3,3,0
spCeEwv1FraahscqFSzZmk3oZxG4oFXz2bH5TjQ78Qz,2,0
CMb9bqUtJWDUx1vXoAtXhFm8Ctvu8SfoKyC25uVuWqET,1,0
tnkYe4HJ5YguVyaqvVPM5QyZy5pjp9q3i4SZYHPYBGa,2,0
AxcswTmFFqCihtynq6c21MKzLRuHw1EvJFJA8nob7nQU,2,0
BZUNUGwxKP5ZCJod4idEXkhqtFcsQVLR9yH3to5ALHGT,4,0
3LKjtyaNaXTDAwTHuSNSoTbV5Tz9MihtgCP3ic4XwpcH,2,0
9fVu5HvhX2zBr1bGUYcRcxWfrGpzeCH5dsgi5aqS8W7f,1,0
A2vbAArwuEG74r2qtLANWRo7uNzPqnRE3edGLWaypWqC,2,0
CxoPncXoX4gUSeuuiBpzJKD2kZznXiXzhZFWqR6KtTCe,1,0
5qHQckJnNoDSwUCnVd4iNQc9ywkfT2dAWoP7CPNm9Tfp,4,0
DJppwr1tdiV1yqE9b7e31vVikr7BXi8rvVWQDbgmY4yc,3,0
2cMhvtdgrBpYEBs6PHYRnrWFi3vYXoSEP59MJyEBeG6N,1,0
9hVZ2haU6fxCmtAydn1coVgC4AByi4iKnhbXk81uSmvE,1,0
9ZYSBZqg1hNkSZVPuGnC8meVm6k3R5K9sQhAymFjrybX,10,0
e1o5qtw5FtNSNYamDGRYtZP3GpRsjRLytYVWJfpw6wQ,2,0
GYY7C4yTXpAEXYP6KddVED9sXb1FhT8DfL2AXtPstiJF,5,0
4snrRpJhsHSYmJDLj1bmUiCeivhRMCHgkHH76EW78om5,2,0
5Prb9FyJ12X2RqbxxeHRCeJdFsvuejvuViv5nWC15SDf,8,0
DMghamqhmpV88S9hhGpkD4F8wEq5aR6wUYq9AWYi4SF9,1,0
GVsSpUiYGVmus7t6whSPEJc7Se8B3GnRxFZbCwBuyBju,1,0
7d6Eh26D6J6pHjbxi8pypob3VaZnKvSyafwXXgvYPiEj,1,0
Hy1o46aJbZvGPCb1bjwMrpNZ7bM7jHhxnaoh9HbaWkXy,2,0
DWo2kbTM36348CFHGFg9QDeDzp3HMRTdff5xN21NS2jD,8,0
H9TqE39mRtfeW9w2Uu6qfv13TVMmQPaR6AruffZVZ1Dk,3,0
EPtqUvvsqKfuUKxuFsQT1iDTfFK1uwB8KRQAgG3jt78W,13,0
46RQLQTUka893omr4jqL3xuND2wEPXcDCtdzBUFrRune,17,0
ESpqH58YqgD8HcycZev63ta2yG36apJbP9yEpDQ4xSUS,1,0
3CwGyzSpAncr6yvYys5QPpZi5YqNMfPgJ5S5JFgCy33P,2,0
AhZa2cqqUFQnCXNjDupX96qk4NkqTuUhuQKvavJ3buqk,7,0
7oKw4oRgRfBzLXuJ3GjavHWMR44zp31j9XHqL6QuzK6B,1,0
A8FRmFRrN2PtNVvr7Ag7UvNwX5SpqLxnXVitdgf5bZXD,1,1
F9eWiraYBpurSqvfmw28WFe9ntKDUR7SFBiiZdyJgnCS,2,0
AzFTX6kxVssTiK8j3cW9iMn6mc9QBffbF3XSWHZaWnfU,1,0
5f6tWdNKTB8H7ATGXc2BY1eZHrLSpgFLcr5mZd2GH7zZ,2,0
okkVSrkBXGfMHvEfKGUW73XmJYbP4ojPbWsBXbYjvZf,2,0
FJrqM8kuJwqJeQA7K3mNCCH5dHU4znwVDtW5jkJmZQvB,1,0
ARXNs5K3uq1FSMTgW8iLdPwTmHHb54c5ZQkZ8nV1y7QP,1,0
Fi9PuhNgkzQreK8j1Xcp9DBkC2ok69MGxLnpCjXtsRD9,1,0
6nmvu81d83dzSVfenpJ1bxrQsQkvYLZPWpAvaaVFCf9N,1,0
HcQFRMX76VmDBtpbRBUmBuWFpwZJko6EKZcgu8ZzJN3L,2,0
7s4v318pjybtQwWPyrUsQ9xugQiTbZfRtccdL5gpuczY,4,0
DWKK1pvdoQmXrj1nnod452tTJyx9r3eWABz1p5e62J86,1,0
5nkVBt2tBz9Su1GmMxvACCRxFYvg1M5HunkMXiRvL5zV,1,0
3gXY5TJCTyUomVCLwffeBcS3SdXuoFoBnGhaom95ZLgQ,1,0
BoRiSxtNsHGQNKzic4sBa6779wPpp5e8UXywSVdHhpEG,1,0
2jyqJSWDVSYDX5W8TamVuP3VMPyDsrfYGN6KdC8DLqih,1,0
EWU5hQvibAHiv5mT8ygRiQuzwLNwUQUkprD9jvuurqNx,1,0
3JMbwGxVDDYnu9zGeqNKf4hXDMhCzt9Z21SRtvMzYDg7,7,0
3TokiGkwekhqVy1cD2HRTWLa8MB2YQsg7mepsowME7St,8,0
Hp8BiimgpZHTNbQQPp2TdyDu3SaJZUpn3pv8rHCPtEEG,1,0
U33gBxqYXjtoRSkm98NX1x72LaWa2gVzyBA1u38DbVe,1,0
AAEaAibELUbLjihJYUFtFNubM8W4UKRr599n5jtFDmp5,1,0
GExyZG51BZmaXArCURcG73SFK6WGDKxiCW9GbXi395Xo,1,0
8BXx8o9QfJ2CSC8DMynxmTQuX6xyMtgjwBdWKf4UbrqM,2,0
FKP8kjaozjUwmpAUZgZYLWeowCHqAufr9ZciXeEEqmzH,1,0
DuyVNPMtDz4HNsrSCaXfN8pEjJ5RT9jzd8yVsGKX6igP,1,0
EuuN1sKvasCnsEm23iKBxFQFLgt3LeyVidiVcMnSoqcd,2,0
8UJyZjmS2dhGJxnAWMfTdF1hQrD3ygQejD9v5aLqCt8G,1,0
5517ejDtbKTwoWTKxKoNaGczVr1CN59RspBvnegqSsQD,2,0
3eMQUwLBoCRhxBYHzkfTiYssh6DPxvf9vKmLJjkD77md,1,0
BoWtERPCV4VgLiRy2UCV89K8EKsZfvh449nrvrgLTAoR,1,0
HmcsQCrUKxoDZ94x5GPCBSnfV7kjtJkbQg3fmYB2zRHg,6,0
4UaJGMSifY5AsBZHVBpBTaypKxHcubGvKuWfoE5qH4BW,4,0
CeVU2LbxT3BsZxZi393k5SMJ3jKJvFXD7yMYsJV3oosS,2,1
Ef4t8wgUwkEsijAPgYetssYa1Nga8sR8tbEoXJW4UMve,2,0
BaqLQ8tkqmYKziV9bxRPMzUdr11xUjgnT2qV7KUxAtRm,3,0
ByMBFEkYFxgqHgbgFVuAph3veiYn6RYEZQZJ2UWrpLgh,1,0
GDCMyZh5kHx9ZXdJjB8ikuP1XT6Y9yBsoyS1Navgq3E,1,0
6S51S6oah3e7khhQBFhPrUHurasWY9AGcEsEaZKyp184,1,0
7dzinRwKrXkKe86LsyJuqLrLhE57tZifuHQ4pAMxPHjg,9,0
isrB8oERphovTtf6SaSiS968GPB5jwSvFrAZkZCB2Tj,2,0
AdRM49ff7sgAJrsC6KqeiyY65SWuVevbu6FpuY5ndefb,2,0
7MRsLwqNt2qkJ6R2NGKskh4TJEStJxmU7AzCihWpYKRo,1,0
47RGRKzC7D9mJ5YN3EPuju49LmeoRNgbnnsikZq3bcCd,2,0
Bw4SuA3ZSsKvAJVARerVJca5rvKkRQvtT2hNrYQXcFmR,1,0
ACneLAdeyAPiVd57WU5g6P5PGdop3STUuLZw1pa2binq,1,0
3TX6WL9zGLeLcBuNTB1iUwAN9ryJaQ3zhE7q1spehuWb,1,0
6g1xwwgsT4Stdyi3amRETZy71icQUBNfHirjwkViAfob,8,0
5c5Kasyx1SfRgECc3nT3RHn4RBhCt9BTGhFPtt2k53Q,6,0
9ApQsibn3pfghzem4d4aDA2V5DrWV7YAzU8aGjcxDRtx,2,0
HUp5pi5zco7QP47GJtskUfqsuWnDHit7Lgc5ZQcCk5h6,2,0
H1xbewBs4F68Z9z9m7JZVCsSb6feRirBbHWgQF1SEhiX,1,0
7zQ7t5FqzGgL12QRp1AMkG4A5Fetk7QRfBZmmVYLFJwM,4,0
3aWxw6MhoEqiEXbtqHCFkRSvhDXmvsRH8KMMrWw1dLiB,2,0
AQxnc8M5eTBLAxydvnPVfnW6qPDrPuP8tpPqgei9strG,2,0
3EBRhjFrM6emdAjEL3R6MgSi5w1xafypLCtpzUmbq1Xz,2,0
6VAq6qwcC6A7QxU7QXL6d5Y7t6WfmaGqQ4bpKwm3FwCY,4,0
6eLJ2zJHVJmRwSDntGdmpQkSPrVmbWTH986oAESKmizc,1,0
Efx1LHEbVZQyqxxkibrZ11ehDP38nxPXCj38GoUn4i83,4,0
DKM46yeSQVfqj3aPGYasSpiwrXPXLRykgHXb9UcwmQKj,3,0
DdTFUM7kT76PkqFkDVxTTcp9nJ7v616uQx6ygJeBTKTo,17,0
FxSFea4edJ5EX2P5RWbbAJxkys6ZPSc6VdDseBCfsbuG,1,0
7YE2fjprQBv11rzMm2wRuKHa6Hb6KC67cYRFF1pCfecF,6,0
5tPL7MKEiCsdDGyPbb43jQ47PAAJyAqr2FdQgYRg9Bcd,1,0
9X5umAdHH6iK4BSXjb5SrshYRUE9EKQrMAfJdeJvEhYj,2,0
37ZZa2BhQY8cTPzCJ1xyoxP8WEYXSTc1fUWKDWwp6Zss,2,0
AQ87GwWczU9UNRQiQumQwMvFSipExDYQ5ZcdJJUiJVZx,2,0
2HcdTjokmagdS6o5o91SqmhQrhvPgin4rzNtgwDQYLM6,1,0
36FZF1WMkqe9epLwjcfeftch5RrJSH3KKY8hiuMjBj8T,2,0
7sjMEw3FN5mKndyjrRbRSywwBbYXGvmPNCN118tYXPF9,2,0
33GDMjp363poMqMychAagKtQgzSa7A1sWLDMKodSuzrj,1,0
FNpb1ThYi5HfaktHgZpJWMM6kEuCLhvwR6tE4M9Z9ahX,1,0
F9kCwa1sZBeghPXQCNfBG3cy9Gat58FAeYUm4YLfWwLJ,1,0
BZTkRTMuzCQp6bmVSRU4kgo7UNQoGTVzS9VJrwRZuLvQ,1,0
3drnafq7HqismZpmH1Jp7d795jNgQucHX7e1ivjzXAXB,4,0
CFv4zKpicQedv8nN5oYGYCVLqxMgsimADCCGTdMgBBg2,1,0
B13DNR7j1zBjrBX1nqw4JnZsYpXxW3MHBmBsuEAiBjPu,2,0
AmmkFCUuAyLG2p6BgsMGNBk1RZr7vNziwtEzmWRHcThb,2,0
BECHAzzSSzFdFMdQ5H4B6T6WbSWGqU3vy1yViiwz7Wik,2,0
ABDAKRTDRfDUbosQinqXs8NRH3AjeA4s2j2pFukzicFf,2,0
GQa1Ky32CQUeuUMjDd1yTHuuDeezMDBowQyUsUkB55Jj,3,0
9W8sSSvxzPdGHQvLStWTJWbwp6Co42DtVVA9s4wVhSg9,4,0
5QubaBFotqtGU5EdYweKqpYouqcEj4FwnsiPKE19YXvY,1,0
5tXpNxFEYiiyLuXjrgsFY3FkvYrLM1J52kiQN9tMjTds,1,0
ZszWyiwUPuKx9ME9A1SW87tLxTK7mXisUGLFi2DHeUr,2,0
7ksZMxyQ2eJuNn2eKHc1SbxWquvUFEWNravJtvg9ya11,2,0
FP33Xr6FbZZ8ciFXyteFHZH6mzz2kqR5BHRiyQAXJWTh,2,0
8HujuLSzh7xtXZ5zQt5F6hz8BUQZBjrnf9BETkWWUKmW,2,0
FLMjUu6jks5Q1b31jvB6gqxvQN6mACHK15gpgFide8je,1,0
BqeE7L92F71MXW3FdoHPwNFPxyMaJCfqW1omaUBepXJQ,2,0
3raWcbDYengLkqxwTjYe3kL83AVfqfQFM3kR5ACMrSFu,1,0
9tfJvVzYozWAJ2jGg5AyACEK3NrLmTj4ficGYNztnHgY,10,0
EtWBnjfHhCE6tq2YNJBMs1aD4VaGhRypzL8Kvfvy31F1,22,0
21ESdfgfh8xmnWgC9xd3FfmhPNceoPdVs9RRWtWqZS1c,1,0
9MNuhfRXSY9h8AfnGqhNp1jkx7fatsNzeY9mqm3XGQGc,1,0
GuCD5xudcA9PNpZmQ8cfTUK4Rc39GHy3ghikYj9MoRRZ,1,0
FGQrHt8gRF2vkxRQdypM1QuwSXL3GPP5P6YUpyxtmM4T,1,0
9djh21DNJE2N3vjqpUFH8EGrDfZ4KAZQSsKrwCpB7EJT,1,0
FnHNzWor1d3gCrtkzs598aQaBMCtf6r8QZUF11YSzwok,2,0
DmyY71Mq6idtE5KuFS2K9XKuesFt8oXxxuikS3RWnYCQ,1,0
G13Pe42gAkR3p1nfN2A1yRzymNnhLdTBq9e3xYxDVP52,1,0
3C7ghyLAwvxU2aGuRTtRHqZcQT9th9rovMqnKY3WDJod,1,0
47rESDoxvvAve8iyJPPX5NcE8451PNfTLB2fngfKdbxq,3,0
F9z527kaByzoE7sKcZLvrrGF7Ci48FvYGwJcFTS1Wj3,1,0
7gndSAt8DisyN5tTvTYKWJnQxcJYbcVHS8FnKwVUfDGQ,1,0
AqpUfU8s6fFRGMVuL8fUbH1WCL2LzdEHfjFsak26kYxf,1,0
BGV4rtmghqmZ1Cbc6KDhHrsst1DZq8HQ4yCyU5tegtq8,1,0
EsfZM7rYRkAcQmMQPLfdik6bEid4pXdny5ug1oVnkn2A,2,0
7UkVj7UcGsaCEpf3Pi6k6qxa33iuf8eehsTmaXtcVPzv,1,0
9iSuQGQYkXJgxCVTaamuDwWJqpjDEcPVKKxySREgRTQw,2,0
Fb1J5iKCN2eifVezRggKgdSYJUDShRjNPpnwoD3p8Na6,3,0
EPBJjpSjs5iSEDcTpiTDMfi72hJFkf1SPpz9JHhPQtnk,1,0
9gqgm9tPYVo7eruLBcx6Qbs4xQp8tyTixFRxzbVeNneS,2,0
EPNidoL9J3A16z3iRWJD9FMtWqsVSzgbieNageJHuB4q,1,0
8bo2b8aF98ms2T9t9t6NXMdDnjJ7t9v98eDeCLiL3UEE,1,0
8jnndLsWn9AF42vAUphgjqC8b5kJ5Nna3zkUNmKFHtgq,1,0
5GN1kMdmp96hFu4tYk6iS3JiXms26UswKhQNphGLm6gw,3,0
4VXi8vbpmwVk7cayf5sqi4hbrUW5Ly5YesR8iYxNyRgP,3,0
7tYhNupstYF8n42yFRaYikfk191vNZ7cAWzjSMfjSde1,1,0
AFm9j4GS5n1fK67WwwiCAGv1kxmYfX5FL3nTWRDqiDj5,3,0
GGfoJUCCjwX7ezH3QimGHV7egMD6E9pxsyp5ZnFjGkrm,1,0
62L7yWw2cVQPT4beqVmuSCaStE26tYV2jbdMj8HdFyVZ,1,0
AdJGM1KqMCfKpj2tQg2ZnDx6TrcnBkyUX9K3W7DJfCks,1,0
DUtZYjdG2roB8gpdJ3vEPcH7rwbL9SRmC2EXCbbH4KLM,2,0
HpSFnVWw3gRJ6u5WohNAzdsPnPV5SCRym9rXxHEX6RHr,1,0
8QjFBiQBCUdYd2ZHMV7NHguzsCEr9JmsnqjABayvmfGf,2,0
GJ28Z9QtmZGMV7Fp4XpVUh5BcTrjH9HYZaLh2yBc76de,1,0
7iWW4G3YQQD5Ejc9Hrb3hxecBuHpLJUeUga8SS2HZWzy,2,0
6L8z8X5xukv49kgcraN5KMEbbbEkTmpeVceDY14wtwsX,1,0
GVYjFvfM1Jnu6tijZkwigpyRDwA9ESJrZekxkMixS6Wh,3,0
9HFH8QG513beeYTc21DdJDqdEqECL2KtZnXG78HW68Kd,2,0
8v9PxpT4vD2S7maMKSz22BJnUfc6gFmSSon51y2coRYe,2,0
5mp9gd1oqj18v5kjLy52CKWv75upQuV8qNL3tEiKdiLg,1,0
2EJY8AWhvPCHvJd5ceaPwhNrw2bg4oBg6chy4esBmBX3,4,0
AnycJxKYhQi14pwUB7Vc4xdL2ckV7tN5nAfmA1kP8Luy,2,0
J3PdfP91ZKRHpSarvoDd9Z9MCAr7yw1BLd77GLsBQGj1,2,0
7iYfatujUm7xrWhwG2VJxS5bF1Rr1tLL3Esr6RuUuBMD,1,0
5ALv9ywMGDj6isJcGEwhyLdAAVhXqsLxpY5RyL2K5uvx,3,0
9gkwjtEuc2m3zQMrxHv6PD19zG2sKgu6weX88QNR2Dp6,2,0
GKAkKheio3AbBZvRENoCoKRc9x6pJgKva8vckfdayiPQ,3,0
HNyQtFGEjK43A7Y3u7BNfQzH5qytM5FRqntm6SxmNghm,1,0
